"Event Category","Event Action","Event Label","Total Events","Users","Event Value","Time on Page","Time on Screen"
"Terms Board -- GOLD_12","termsboard-related-document-display -- whereBox -- consistent","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whatActionBox -- new_to_old","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whyNegativeBox -- consistent","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","lc-reading -- pfizer-expands-anti-infectives-pipeline-with-acquisition","text -- pfizer -- --",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-reading -- full-program-for-astrazeneca-at-asco-2021","viz -- astrazeneca -- whatActionBox -- consistent",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whatTopicBox -- new_to_old","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","termsboard-document-link-click","text -- pfizer",4,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","text -- pfizer -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids -- mouseover"," --",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_31","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-reading -- record-breaking-sales-of-24-8bn-by-2021-predicted-for-pfizer-biontech-s-vaccine","text -- pfizer -- --",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-related-document-display -- whatTopicBox -- consistent","viz -- astrazeneca",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whyPositiveBox -- old_to_new","viz -- astrazeneca",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","termsboard-document-link-click","text -- pfizer",3,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- latest-pfizer-biontech-results-offer-youthful-optimism -- mouseover"," --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- pfizer-expands-anti-infectives-pipeline-with-acquisition -- mouseover"," --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whatActionBox -- consistent","viz -- astrazeneca",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","text -- pfizer -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days -- mouseover"," --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","text -- pfizer -- us-cdc-recommends-use-of-pfizer-biontech-jab-in-adolescents -- mouseover"," --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whatActionBox -- new_to_old","viz -- astrazeneca",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-reading -- trial-in-children-could-help-increase-vaccine-coverage","text -- pfizer -- --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","lc-reading -- vaccines-seem-effective-against-brazilian-variant","text -- pfizer -- --",3,1,3,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whatTopicBox -- new_to_old","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-document-link-click","text -- pfizer",2,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-related-document-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whatTopicBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whatTopicBox -- new_to_old","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whyPositiveBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-modal-open -- whatTopicBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whyPositiveBox -- new_to_old","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 60",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- sosei-heptares-hits-milestone-in-pfizer-collaboration","text -- pfizer -- --",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","text -- pfizer -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales -- mouseover"," --",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","text -- pfizer -- latest-pfizer-biontech-results-offer-youthful-optimism -- copyFromLC","lc_text_display -- 2507",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","viz -- astrazeneca -- tagrisso-goes-full-steam-ahead-with-new-eu-approval -- mouseover"," --",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whereBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whyPositiveBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whatTopicBox -- new_to_old","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whyNegativeBox -- old_to_new","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- pfizer-adds-3-5-billion-in-first-quarter-vaccine-sales -- mouseover"," --",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- pfizer-and-biontech-initiate-fda-rolling-bla-submission-for-their-covid-19-vaccine -- mouseover"," --",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whyNegativeBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-modal-open -- whyPositiveBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whyNegativeBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-related-document-display -- whyPositiveBox -- consistent","viz -- astrazeneca",2,1,2,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-modal-open -- whatActionBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-modal-open -- whatTopicBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","lc-start-read -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- -- -- 2021-10-21 11:0:4",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","lc-start-read -- vaccine-companies-shareholders-profits-would-pay-to-vaccinate-africa-say-campaigners","text -- pfizer -- -- -- 2021-10-21 11:1:6",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-modal-open -- whatTopicBox -- old_to_new","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-modal-open -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whyPositiveBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-modal-open -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-related-document-display -- whatTopicBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-related-document-display -- whereBox -- consistent","viz -- astrazeneca",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","summary -- 6",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 202",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 230",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 27",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 53",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 54",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","text -- pfizer -- copy","Unknown -- 74",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","viz -- astrazeneca -- copy","sankeyModal -- 195",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","viz -- astrazeneca -- copy","sankeyModal -- 202",1,1,1,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","viz -- astrazeneca -- copy","sankeyModal -- 72",1,1,1,"00:00:00","00:00:00"
